Date;Y;mon;usrec;10 YR
1816-8-01;1816;8;;6.213155
1816-9-01;1816;9;;6.121059
1816-10-01;1816;10;;6.095773
1816-11-01;1816;11;;5.933517
1816-12-01;1816;12;;5.860639
1817-1-01;1817;1;;5.875161
1817-2-01;1817;2;;5.895414
1817-3-01;1817;3;;5.859685
1817-4-01;1817;4;;5.83313
1817-5-01;1817;5;;5.697733
1817-6-01;1817;6;;5.637666
1817-7-01;1817;7;;5.655651
1817-8-01;1817;8;;5.673041
1817-9-01;1817;9;;5.652767
1817-10-01;1817;10;;5.654716
1817-11-01;1817;11;;5.565628
1817-12-01;1817;12;;5.62502
1818-1-01;1818;1;;5.643669
1818-2-01;1818;2;;5.558891
1818-3-01;1818;3;;5.538045
1818-4-01;1818;4;;5.6872
1818-5-01;1818;5;;5.675202
1818-6-01;1818;6;;5.730921
1818-7-01;1818;7;;5.656496
1818-8-01;1818;8;;5.670598
1818-9-01;1818;9;;5.778258
1818-10-01;1818;10;;5.770521
1818-11-01;1818;11;;5.834457
1818-12-01;1818;12;;5.876878
1819-1-01;1819;1;;5.925645
1819-2-01;1819;2;;5.908174
1819-3-01;1819;3;;5.92455
1819-4-01;1819;4;;5.929469
1819-5-01;1819;5;;5.969471
1819-6-01;1819;6;;5.973066
1819-7-01;1819;7;;5.954918
1819-8-01;1819;8;;5.886627
1819-9-01;1819;9;;5.918562
1819-10-01;1819;10;;5.889514
1819-11-01;1819;11;;5.87163
1819-12-01;1819;12;;5.913144
1820-1-01;1820;1;;5.847404
1820-2-01;1820;2;;5.913777
1820-3-01;1820;3;;5.793692
1820-4-01;1820;4;;5.778431
1820-5-01;1820;5;;5.777347
1820-6-01;1820;6;;5.735428
1820-7-01;1820;7;;5.626148
1820-8-01;1820;8;;5.64765
1820-9-01;1820;9;;5.581462
1820-10-01;1820;10;;5.503715
1820-11-01;1820;11;;5.456197
1820-12-01;1820;12;;5.449479
1821-1-01;1821;1;;5.443238
1821-2-01;1821;2;;5.26519
1821-3-01;1821;3;;5.21377
1821-4-01;1821;4;;5.352829
1821-5-01;1821;5;;5.324682
1821-6-01;1821;6;;5.295415
1821-7-01;1821;7;;5.31325
1821-8-01;1821;8;;5.427806
1821-9-01;1821;9;;5.330542
1821-10-01;1821;10;;5.316732
1821-11-01;1821;11;;5.17848
1821-12-01;1821;12;;5.299161
1822-1-01;1822;1;;5.221006
1822-2-01;1822;2;;5.277944
1822-3-01;1822;3;;5.34759
1822-4-01;1822;4;;5.464932
1822-5-01;1822;5;;5.576515
1822-6-01;1822;6;;5.670821
1822-7-01;1822;7;;5.649331
1822-8-01;1822;8;;5.5971
1822-9-01;1822;9;;5.526352
1822-10-01;1822;10;;5.392946
1822-11-01;1822;11;;5.596229
1822-12-01;1822;12;;5.553546
1823-1-01;1823;1;;5.590995
1823-2-01;1823;2;;5.618812
1823-3-01;1823;3;;5.568303
1823-4-01;1823;4;;5.762734
1823-5-01;1823;5;;5.828867
1823-6-01;1823;6;;5.797411
1823-7-01;1823;7;;5.643294
1823-8-01;1823;8;;5.602443
1823-9-01;1823;9;;5.72391
1823-10-01;1823;10;;5.767993
1823-11-01;1823;11;;5.693809
1823-12-01;1823;12;;5.697378
1824-1-01;1824;1;;5.73301
1824-2-01;1824;2;;5.634832
1824-3-01;1824;3;;5.546322
1824-4-01;1824;4;;5.318852
1824-5-01;1824;5;;5.415215
1824-6-01;1824;6;;5.582818
1824-7-01;1824;7;;5.578645
1824-8-01;1824;8;;5.420641
1824-9-01;1824;9;;5.357781
1824-10-01;1824;10;;5.506939
1824-11-01;1824;11;;5.505369
1824-12-01;1824;12;;5.565155
1825-1-01;1825;1;;5.317579
1825-2-01;1825;2;;5.565685
1825-3-01;1825;3;;5.452426
1825-4-01;1825;4;;5.346564
1825-5-01;1825;5;;5.330338
1825-6-01;1825;6;;5.467912
1825-7-01;1825;7;;5.453648
1825-8-01;1825;8;;5.444438
1825-9-01;1825;9;;5.351786
1825-10-01;1825;10;;5.302928
1825-11-01;1825;11;;5.396213
1825-12-01;1825;12;;5.406147
1826-1-01;1826;1;;5.366187
1826-2-01;1826;2;;5.398463
1826-3-01;1826;3;;5.248863
1826-4-01;1826;4;;5.405259
1826-5-01;1826;5;;5.384756
1826-6-01;1826;6;;5.306959
1826-7-01;1826;7;;5.223383
1826-8-01;1826;8;;5.325378
1826-9-01;1826;9;;5.199453
1826-10-01;1826;10;;5.305572
1826-11-01;1826;11;;5.299432
1826-12-01;1826;12;;5.216176
1827-1-01;1827;1;;5.365912
1827-2-01;1827;2;;5.378728
1827-3-01;1827;3;;5.336295
1827-4-01;1827;4;;5.266146
1827-5-01;1827;5;;5.429862
1827-6-01;1827;6;;5.215732
1827-7-01;1827;7;;5.166482
1827-8-01;1827;8;;5.214951
1827-9-01;1827;9;;5.260586
1827-10-01;1827;10;;5.166143
1827-11-01;1827;11;;5.258992
1827-12-01;1827;12;;5.279842
1828-1-01;1828;1;;5.184517
1828-2-01;1828;2;;5.157872
1828-3-01;1828;3;;5.236033
1828-4-01;1828;4;;5.200987
1828-5-01;1828;5;;5.201737
1828-6-01;1828;6;;5.420706
1828-7-01;1828;7;;5.123218
1828-8-01;1828;8;;5.071384
1828-9-01;1828;9;;5.210796
1828-10-01;1828;10;;5.204209
1828-11-01;1828;11;;5.201594
1828-12-01;1828;12;;5.36907
1829-1-01;1829;1;;5.11984
1829-2-01;1829;2;;5.207291
1829-3-01;1829;3;;5.252238
1829-4-01;1829;4;;5.087205
1829-5-01;1829;5;;5.214856
1829-6-01;1829;6;;5.18605
1829-7-01;1829;7;;4.962859
1829-8-01;1829;8;;5.061988
1829-9-01;1829;9;;4.916138
1829-10-01;1829;10;;4.864552
1829-11-01;1829;11;;4.910922
